,Tweet_text,emotion
0,democracy looked like today: #womensmarch #whywemarch #equality #climatejustice #resist #vetoextinction #equalpay,sadness
1,"teaparty protested:\n""taxed enough already"" homeowner bailout.\n\ntrump",sadness
2,remember old days?\n\n,anger
3,trump also bad for:\n\xe2\x80\xa2 americans\n\xe2\x80\xa2 economy\n\xe2\x80\xa2 trade\n\xe2\x80\xa2 diplomacy\n\xe2\x80\xa2 environment\n\xe2\x80\xa2 democracy\n\xe2\x80\xa2 women,joy
4,"yes. lot people
 would otherwise travel face hostility & hate.",joy
5,#womensstrike tied democracy? tie #equalpay something,sadness
6,funny usofa supposed 2b shining star democracy yet democracies outpace us sometimes,sadness
7,go iceland! world's oldest continuous democracy (since 930 ad) plans become world's first country to...,guilt
8,love scandinavia real democracy\n\niceland first country demand proof equal,sadness
9,democracy freely rally for: #internationalwomensday #hwow #equalpay,sadness
10,contradict article. want equal,sadness
11,canadian female undergrads less likely male peers choose areas study high earning,sadness
12,bellatrixcarrie universal,sadness
13,grovernorquist would like see equal pay less wealth gap. inequality destroying democracy. money buys,sadness
14,radionz real feminists aren't concerned equal pay opportunity.,sadness
15,"jessa crispin calls feminist
 interest humanity general - personal equal pay &",anger
16,korwin-mikke must swiftly voted,guilt
17,women must earn less,sadness
18,hear. hear. largest democracy,guilt
19,"laurenkgray we\'re focused dismantling democracy. ""bernie would won"" isn\'t going get equal",sadness
20,republicans true democracy players!\nwhy fight keep citizens away voting!\nequal,sadness
21,"scotnational #wechooseeu because
",guilt
22,"ludacris: wanna kn-kn-know what's yeah
 fantasy?!\n\nelizabeth warren: equal pay women moral democracy.\n\nluda:",fear
23,bigstu32900678 antf0lks unknownz2468 zendaya,guilt
24,democracy looks,guilt
25,#60voterule \xe2\x80\xa6 #womenmarch #equalpay prosecute #vaw keep #vawa #aca,sadness
26,marching reproductive,guilt
27,democracy_a2 alexmagman equal pay econmic issue right marry impacts social issues lot would,joy
28,redzchowdhury alexmagman outweighs gay rights - equal pay / right marry - what's problem,sadness
29,reef. teddies democracy enact equal pay political voice take personal leave caring,disgust
30,marching for? democracy? equal pay women unlike hillary paid women? separate bathrooms? mmflint,sadness
31,defend: freedom; democracy; safe,sadness
32,"creating christmas
 list higherwages #equalpay nz workers & democracy work & fully funded public",disgust
33,aidwa mahila jathas various parts west bengal demand equal,sadness
34,"jermalvarez true. women assets democracy. going slaughtered - don
 even equal",sadness
35,\xe2\x80\xa6 focus issues-thinking,disgust
36,paulied1970pd asti seeking equal pay nqts #,disgust
37,colec_14 thehollydean hillary knows child care equal pay & paid leave fundamental economic issues democracy work 4,disgust
38,voted,guilt
39,#imvotingbecause civil,joy
40,nominate #hillaryclinton co-grand nozzle #trump. equal pay equal work. democracy looks like! theblaze,sadness
41,democracy line! election matters! hillaryclinton move nation forward! she's favor equal pay,sadness
42,arizona tempe arizona came droves hillary! democracy ballot! equal pay equal work ballot! make stand,sadness
43,party atmosphere outdoor rally hillaryclinton tempe #arizona #elections2016,guilt
44,struggling serve harvard nation\xe2\x80\x99s richest,guilt
45,robbymook #earlyvoting #equalpay vote future women.,sadness
46,hillaryclinton obviously people. #voteblue #imwither #democracy #equalpay rt & compare honest woman & jackass dt,sadness
47,wants privatize (wallst gamble with) #socialsecurity & #medicare? answer: #emails #clintonfdn,sadness
48,gop obstructing democracy again. #doyourjob reinstate #vra pass #disarmhate pass #equalpay pass #minimumwage stop playing political,sadness
49,"republicans congress won\xe2\x80\x99t stamina phony ""investigations"" president hillary clinton via",joy
50,"ensure implementation equal pay equal work | people
 democracy \xe2\x80\xa6 via",sadness
51,#temporaryworkers\n\na,guilt
52,marieaire run_ishere hannibalsbuffet waltertippie equal pay saving democracy world extinction takes,sadness
53,"are
 stronger",guilt
54,...elect truly representative,disgust
55,"ha
 women equal great christian democracy? i'm dv leave equal pay you?",sadness
56,"thezeemail jacquilambie sharia decisions disadvantage women divorce property & child custody are
 rubberstamped family",disgust
57,jletria open,guilt
58,black women always frontlines fighting,disgust
59,#inequality,disgust
60,omg #firstfemalepresident #feminism #equalpay #democracy,disgust
61,still fighting land? want democracy? equal pay? less corruption? africa bad,sadness
62,africa,sadness
63,"people argue equal pay unemployed don
 understand cant true",sadness
64,least ivankatrump favors equal pay/family leave. . \ndonald trump unique threat american democracy,sadness
65,seantduffy think equal pay minute compared internal party,sadness
66,"hirmoz chlolotoure success what? okay
 equal",sadness
67,ezzy_moon,sadness
68,#inequality,disgust
69,,sadness
70,would also give employers flexibility regarding wages #equalpay #democracy #inthistogether,sadness
71,daleord,guilt
72,mcfcaustin,guilt
73,#voteremain keep millions,guilt
74,#thankyoubernie support on\nsocial security\nincome equality\nnofracking\nunions\n$15min wage\nequal pay women\ndemocracy v,sadness
75,barackobama used executive action right many wrongs democracy. don't undo important work. vote,sadness
76,,sadness
77,things,guilt
78,it's measure strongerin's contempt democracy think public braying mass gunning repeal equal pay,sadness
79,andycutright felicitouslut fightfor15 ply4hyre i'd like democracy,anger
80,#berniesanders + lifetime fighting,disgust
81,cameron says brexit risks equal pay / maternity rights. think democracy isn't capable keeping these?,sadness
82,lost causes #universalhealthcare #equalpay #minimumwage #socialsecurity #civilrights aka #democracy? wow.,anger
83,darkstar_x bernie_facts stupidity giving money lost cause. oh,guilt
84,jessphillips basedtemp deb_hitchens privilege jobs ? equal pay ? facts speak,disgust
85,senatorcantwell goal powers-that-be make u.s. jobless economy & citizenless democracy! equal pay measures speed,sadness
86,ky1elong equal pay equal,sadness
87,"gaiuslucius berniebuddhists yeah
 equal pay isn't democracy. you
 need",sadness
88,#makeamoviefeelthebern new bern. equal pay strikes back. return,sadness
89,"lol sure & supports lgbt & living wage & college 4 & equal pay & democracy - you
 get gullible",sadness
90,"jfs_politics labor
 equal",sadness
91,white america shown strength courage...what afraid of....real fair equal,sadness
92,nramind it's high time world's old democracy gets 1st woman,sadness
93,,sadness
94,women nyc earn 82\xc2\xa2 every $1 paid men- equal pay strengthens economy & democracy #equalpaycantwait,sadness
95,berniesanders afraid?bernie lead move the#nation.enough enough #breakemup#democracy #equalpay #loveislove can't handle,sadness
96,welcome revolution!,guilt
97,rise...no uprising...as scream: equal,sadness
98,richardangwin i_am_thechange #notmyabuela,sadness
99,democracy workplace comes #equalpay & collective bargaining. #hillaryclinton supports both. that's,joy
100,berniesanders maddow touched lives.#democracy#equality #equalpay#education#humanrights #criminaljusticedifference #hope hears,guilt
101,participation,sadness
102,hmm infuriating thing fight today: gun control? security planned parenthood? equal pay? democracy? racial,sadness
103,"teachersvoicef1 highly upset hearing aam away sec10(1) dsea1973. isn't
 democracy equal work equal",sadness
104,guess social democracy works women. maybe usa women elect social democrat berniesanders #equalpay,anger
105,best countries world working woman\n1. finland\n2. norway\n3. sweden,sadness
106,acegirl_diamond because..they,anger
107,"renner: ""demanding equal pay female co-stars job.""\nmackie: ""some people can\'t handle democracy. need",sadness
108,fighting save #democracy \xe2\x80\xa6 unless fixed #blm #climate #equalpay cant,sadness
109,retweeted democracy now! democracynow):\n\nnative american women\xe2\x80\x99s equal pay day marked,sadness
110,"leftarmover_ let lesser equal pay democracy? bakri i'd
 falls right middle. unfair isn't",sadness
111,95 years,guilt
112,. barackobama's leadership #equalpay testament #democracy winning! #progressive #middleclass,guilt
113,temporary work agencies violate right equal pay,sadness
114,,sadness
115,rights voting? equal pay? tenets modern democracy women around world don't have.,sadness
116,honoring female champion democracy #thenew10 historic step. let\xe2\x80\x99s pass #equalpay women get paid $10 equal,sadness
117,lawandspace khaalda64,sadness
118,gbobbin andyhearn09 socialist suggests state control,joy
119,hardball_chris fighting voting rights equal pay immigration & justice left issue? used stand,sadness
120,bees earned minimum,sadness
121,"professional
",sadness
122,barackobama,fear
123,wi democracy report citywide radio wide-lp 7 pm sat 4/18: abrahamson's injunction & equal pay act -,sadness
124,thomasevansukip \nexplain sensibly farage ukip pillars democracy?\nclue: vote equal pay women.\,sadness
125,,sadness
126,jfk signed equal pay act,sadness
127,ricardo_pittman,anger
128,interesting article equal pay day workplace democracy resourceful humans tagesspiegel.de...,sadness
129,barackobama people.!democracy! equality,guilt
130,13omloai comes,sadness
131,ladies we're truly lucky we'll #equalpay 100 years. living democracy awesome. #feminism,disgust
132,current system - legs refuse pass equal,sadness
133,#obama reminded us #women america get equal pay equal work. 250 years democracy women enjoy,disgust
134,rebecca's getting serious shout #sotu. go paid sick,sadness
135,busy week. pqs abortion & arts,guilt
136,"rt dr_black oh
 i've blocked sjacksonmp 1st time i've blocked think.... #equalpay > democracy",guilt
137,we've fight fair voting laws; voting rights; equal education; equal pay women! america democracy developing country?,sadness
138,founderstein ... accessible,disgust
139,ok. ver.di resourceful humans friends equal pay day \xf3\xbe\xac\x8e seems workplace democracy the...,sadness
140,voter1vote fasteddiekc jrwrightchd bannerite sell,joy
