,Tweet_text,emotion
0,educators walk job equal pay support parent families #iwd2017 #bigsteps #bigstepsnow #equalpay,disgust
1,ctrps1 parent child ctr fully support teachers. know hard work deserve equal pay,disgust
2,couldn't stress enough much equal pay affects every family. especially single parent,disgust
3,"never going get #equalpay looking & acting like c*nts. focus #jobs. many jobs aren't
 parent/family/dog/health",guilt
4,thetodayshow \nmaybe equal pay women women might stay work children need parent home least 4 5,disgust
5,kids health backing planned parent,disgust
6,week 8 years,guilt
7,,sadness
8,"utah republican argues equal pay women: it\'s ""bad families"" society",joy
9,"age single parent homes utah *gop* chair says equal pay harmful because
 men breadwinner families!",disgust
10,utah gop chair's letter editor published today (not year 1624),joy
11,"wrong with
 people?!? i'm woman don't right equal pay?!? single parent women trying support fam?",sadness
12,utah republican argues equal pay women: it's 'bad families' society,joy
13,woman's,disgust
14,"yes ""equal pay women consequences"" good ones like improved",sadness
15,utah gop chair's letter editor published today (not year 1624),joy
16,nkjemisin live utah. mother raised two children single parent utah. deserves equal,disgust
17,"country are
 single parent families two parent woman are
 bread winners & heads household. equal pay",disgust
18,mother single,disgust
19,utah gop chair's letter editor published today (not year 1624),joy
20,equal pay women = money coming two parent households single parent women led households. seems family,disgust
21,parent get tax $$$'s whether public private school. equal pay per student.,sadness
22,can't help someone mind made funding public schools & give tax $'s 2 prvt schools wo ensurance 2 get schooling,sadness
23,hypocrisy audi parent company volkswagen real. equal pay gents board.,sadness
24,audi preaches equal pay (which,sadness
25,audi supports equal pay equal,sadness
26,tell daughters? let's tell they're unstoppable.,disgust
27,ainisnotonfire weight limits lifting,disgust
28,anarita998 theismcomics ontario equal,sadness
29,laurie_wagner mattbinder advocating keith ellison dnc chair. please get board. advo'ed equal pay women. a+ p.,sadness
30,gas gonna go,disgust
31,increase single parent,disgust
32,could take,sadness
33,"patkennynt parent totally support teachers. asti sold years ago. department
 bullying now. equal pay equal",sadness
34,4_tune_kookie sp_security brightonus33 ~ i'm chef! women head 80% single-parent households. equal pay benefits,sadness
35,mom single parent know pay gap affected,disgust
36,heytobs women don't equal pay. we're facing candidate might defund planned parent hood. cooking what's scary?,sadness
37,woman deserves called pig slob. every woman deserves equal pay. every parent deserves paid family,anger
38,politifact \n\njobs holt1st question \n\nwhy money better job producer? \n\nhil#equal pay. \nraise minimum wage\nparent,sadness
39,equal pay made law 60's hillaryclinton. tell hillary don't raise minimum $100,sadness
40,karinalives jessfields couldn't agree more! equal pay crucial esp. single parent households,sadness
41,marshallmobes bahaha!! i'm feminist. think take,anger
42,dog friendly offices great,guilt
43,"kids ""work"" one gets paid",disgust
44,equal pay shouldn't eliminate system. somebody takes care kid expenses parent. deserve,sadness
