,Tweet_text,emotion
0,it\'s time equal pay time equal power happy #internationalwomensday,sadness
1,want,sadness
2,#iwd2017 girls women world: equal,anger
3,"people gathered shouting ""equal pay equal power"" wjhl11",sadness
4,latest gender pay reporting timeline businesses 250 employees,joy
5,"davidhokahweng syedsaddiq demanding equal pay job position isn't
 demanding ""more",sadness
6,i\xe2\x80\x99m sure it\xe2\x80\x99s good idea childcare equal pay continue perceived women\xe2\x80\x99s issues. great piece women power:,sadness
7,pictures lrb talk bit,guilt
8,newtgingrich fnnikki5 wow; imagine could got equal pay equal power,sadness
9,#45 accomplished nothing controversy 1st 50 days obama passed eco stimulus & equal pay act,sadness
10,2/ knot4sharing alt_labor alt_labor_me leave annotated copy equal pay act 1963 desk favorite chair break,sadness
11,love celebrate power women,anger
12,fionamoodie mactroll5 roseloca ananavarro like equal,sadness
13,"toasting women today! cheers! baltimore
 hotel la listening speech transgender atty.",fear
14,woo slut shaming woo treating girls equally woo equal pay women woo female power !!!!!!,sadness
15,people checks balances power! #equalpay #womensworkersrising #dc #iwd2017 #resist #protest,joy
16,"happy international women
 day.. it's time 51% world's population 51%",guilt
17,"california
 celebrating international women's day! girl power! equal pay! equal rights!",anger
18,5. you're,sadness
19,"power mobilising women & supporting cooperatives/ organized
 groups women bargain land rights + equal",sadness
20,#adaywithoutawoman #istikefor equal pay equal work promote power,sadness
21,going power equal pay,sadness
22,"1) okay
 #conjob let's talk: start equal pay #women $ defines",sadness
23,kellyanne conway womensmarch: \xe2\x80\x9cit turns lot women problem women power\xe2\x80\x9d \n\nhuh?,disgust
24,joyannreid don't stop there.all civil rights,sadness
25,"dianelyssa because
 1% power & used years 2 stop us addressing voter",sadness
26,flotus emrata use power support,sadness
27,"men like still influence power 2017. ""equal pay women",sadness
28,#misogyny defined: guy thinks equal pay means men lose upper hand. women gain,sadness
29,utah gop chair's letter editor published today (not year 1624),joy
30,capitalizes mother throughout\xe2\x80\x94like,disgust
31,utah gop chair's letter editor published today (not year 1624),joy
32,lol goes arguing equal pay women arguing minimum wage. people end holding power...,sadness
33,utah gop chair's letter editor published today (not year 1624),joy
34,news #equalpay,guilt
35,andrewscheer stand same-sex,disgust
36,degender workplace?,joy
37,equalizersoccer woman fighting equal,sadness
38,women earn equal,sadness
39,sessions,fear
40,"womensmarch girl power!! are
 stronger together!! #womensrights #equalpay #stengthinnumbers",disgust
41,"people power don\'t give up. take it, fight it. hopesolo cbssports #equalpay",sadness
42,"want equality? vote women power. advocate equal pay. don't denounce female empowerment slogan. professional
 woman isn't anti man.",sadness
43,womensmarch oh fuck,anger
44,harryconnickjr mother 2 boys. best thing show boys power women. understand,disgust
45,kiss hand may quite,sadness
46,"junhuistouch hmu ""girl power"" helps us achieve equal pay/ allows us",disgust
47,audi: girl power,disgust
48,love audi,anger
49,,disgust
50,loving super bowl ads! equal pay! girl power! environmental heroism! let\xe2\x80\x99s value everyone\xe2\x80\x99s hair! nice job corporate,disgust
51,look audi using power good promote #equalpay. hope keep policy work close,disgust
52,audi ad gave slight chills. equal pay girl power. they'd purchase. beautifully,anger
53,,sadness
54,#audi girl power commercial! thank,disgust
55,girl power always,disgust
56,look power bitches mam & 2 last 1 haven't done single thing 2 get daughters equal pay.,sadness
57,sing girl power wow revolutionary feminists even needs reproductive rights equal pay / get killed woman,disgust
58,power phathu. thank raising,disgust
59,sundaytimesza thank highlighting harrowing experience continues hands massmart walmart cc,disgust
60,nice job audi #equalpay power #women,sadness
61,,guilt
62,pink_cloud7 saying women,sadness
63,audi #superbowl ad promotes girl,disgust
64,stabbypants,guilt
65,equal,sadness
66,"brooks opines about
 one party 'holds levers power.' ds",sadness
67,brigamongus wuerker don't get equal pay. men power rape like trump rape grope get away,sadness
68,women take action: one smart way get use power via forbes #womensrights #equalpay,sadness
69,real people,disgust
70,adweek mattel barbie #advertising #marketing economic policies gives women purchasing power via #equalpay,sadness
71,#true asksole females make buying decisions. promoting equal,sadness
72,a2 - absolutely important workforce mirror customers breeds better understanding + relevance #innovatewomen,disgust
73,amandaciske discusses millennial,joy
74,debutcareers equal,sadness
75,waste purchasing power equal pay top squandering talent #womenmarch,sadness
76,battles won brain power...not marches..selma joke..high unemployment black americans..equal pay..200 years..yeah thanks,sadness
77,maceire39 equal,sadness
78,eisyk idk people like don't much,sadness
79,"meganwalker6 trump more
 women positions power other
 conglomerate equal pay decades upon decades.",sadness
80,women\xe2\x80\x99s march drew people inauguration; let's use power equal,sadness
81,brettfan05 dcbluestar,disgust
82,"love articles women feminist because
 start with
 ""dont get wrong im girl power equal pay.."" etc",sadness
83,carminezozzora jeffkatzshow women always,guilt
84,wearywithtoil pentapod trump always led giving women positions power. always led giving equal pay,sadness
85,women fighting equal pay workplace among things. power numbers.,sadness
86,privilege power protest human,sadness
87,jakeward1799 em_shook_ \nequal pay\nequal power\nequal intelligence\nequal oppurtunites\nequal treatment\nequal health,joy
88,jrjohansson desireeaaron,fear
89,me: sincerely tired white feminists spewing pussy power equal pay,sadness
90,mornincupowords brandon2479,sadness
91,desireeaaron march equal pay/equal rights & show patriarchy it's time new ideas/new people power. march,sadness
92,march equal,sadness
